persona_row_id,MR,Attribute,Value,n,unparsed,accuracy,precision,recall,f1,pass_rate
1,MR1,Gender,Agender,1000.0,0.0,0.495,0.1429,0.002,0.0039,0.993
2,MR1,Gender,Bigender,1000.0,0.0,0.499,0.4615,0.012,0.0234,0.987
3,MR1,Gender,Demigender,1000.0,0.0,0.499,0.4,0.004,0.0079,0.995
4,MR1,Gender,Female,1000.0,0.0,0.504,0.8333,0.01,0.0198,0.992
5,MR1,Gender,Genderfluid,1000.0,0.0,0.498,0.4,0.008,0.0157,0.99
6,MR1,Gender,Genderqueer,1000.0,0.0,0.494,0.2857,0.008,0.0156,0.986
7,MR1,Gender,Male,1000.0,0.0,0.498,0.25,0.002,0.004,0.994
8,MR1,Gender,NonBinary,1000.0,0.0,0.498,0.4167,0.01,0.0195,0.988
9,MR1,Gender,PreferNotToSay,1000.0,0.0,0.5,0.5,0.006,0.0119,0.994
10,MR1,Gender,TransMan,1000.0,0.0,0.495,0.3077,0.008,0.0156,0.987
11,MR1,Gender,TransWoman,1000.0,0.0,0.494,0.2,0.004,0.0078,0.99
12,MR1,Gender,TwoSpirit,1000.0,0.0,0.502,0.6667,0.008,0.0158,0.992
