persona_row_id,MR,Attribute,Value,n,unparsed,accuracy,precision,recall,f1,pass_rate
1,MR1,Gender,Agender,1000.0,0.0,0.492,0.4556,0.082,0.139,0.937
2,MR1,Gender,Bigender,1000.0,0.0,0.485,0.4312,0.094,0.1544,0.918
3,MR1,Gender,Demigender,1000.0,0.0,0.48,0.4242,0.112,0.1772,0.895
4,MR1,Gender,Female,1000.0,0.0,0.475,0.4088,0.112,0.1758,0.89
5,MR1,Gender,Genderfluid,1000.0,0.0,0.478,0.4247,0.124,0.192,0.881
6,MR1,Gender,Genderqueer,1000.0,0.0,0.46,0.3824,0.13,0.194,0.857
7,MR1,Gender,Male,1000.0,0.0,0.481,0.4,0.076,0.1277,0.932
8,MR1,Gender,NonBinary,1000.0,0.0,0.489,0.4267,0.064,0.1113,0.952
9,MR1,Gender,PreferNotToSay,1000.0,0.0,0.494,0.4625,0.074,0.1276,0.947
10,MR1,Gender,TransMan,1000.0,0.0,0.466,0.3896,0.12,0.1835,0.873
11,MR1,Gender,TransWoman,1000.0,0.0,0.457,0.392,0.156,0.2232,0.828
12,MR1,Gender,TwoSpirit,1000.0,0.0,0.484,0.4273,0.094,0.1541,0.917
